test,source
RapidJson.ReaderParseInsitu_DummyHandler_SSE42,test/perftest/rapidjsontest.cpp:75
RapidJson.ReaderParseInsitu_DummyHandler_ValidateEncoding_SSE42,test/perftest/rapidjsontest.cpp:85
RapidJson.ReaderParse_DummyHandler_SSE42,test/perftest/rapidjsontest.cpp:95
RapidJson.ReaderParse_DummyHandler_Booleans_SSE42,test/perftest/rapidjsontest.cpp:123
RapidJson.ReaderParseInsitu_DummyHandler_Booleans_SSE42,test/perftest/rapidjsontest.cpp:123
RapidJson.ReaderParse_DummyHandler_Floats_SSE42,test/perftest/rapidjsontest.cpp:124
RapidJson.ReaderParseInsitu_DummyHandler_Floats_SSE42,test/perftest/rapidjsontest.cpp:124
RapidJson.ReaderParse_DummyHandler_Guids_SSE42,test/perftest/rapidjsontest.cpp:125
RapidJson.ReaderParseInsitu_DummyHandler_Guids_SSE42,test/perftest/rapidjsontest.cpp:125
RapidJson.ReaderParse_DummyHandler_Integers_SSE42,test/perftest/rapidjsontest.cpp:126
RapidJson.ReaderParseInsitu_DummyHandler_Integers_SSE42,test/perftest/rapidjsontest.cpp:126
RapidJson.ReaderParse_DummyHandler_Mixed_SSE42,test/perftest/rapidjsontest.cpp:127
RapidJson.ReaderParseInsitu_DummyHandler_Mixed_SSE42,test/perftest/rapidjsontest.cpp:127
RapidJson.ReaderParse_DummyHandler_Nulls_SSE42,test/perftest/rapidjsontest.cpp:128
RapidJson.ReaderParseInsitu_DummyHandler_Nulls_SSE42,test/perftest/rapidjsontest.cpp:128
RapidJson.ReaderParse_DummyHandler_Paragraphs_SSE42,test/perftest/rapidjsontest.cpp:129
RapidJson.ReaderParseInsitu_DummyHandler_Paragraphs_SSE42,test/perftest/rapidjsontest.cpp:129
RapidJson.ReaderParse_DummyHandler_FullPrecision_SSE42,test/perftest/rapidjsontest.cpp:133
RapidJson.ReaderParseIterative_DummyHandler_SSE42,test/perftest/rapidjsontest.cpp:142
RapidJson.ReaderParseIterativeInsitu_DummyHandler_SSE42,test/perftest/rapidjsontest.cpp:151
RapidJson.ReaderParseIterativePull_DummyHandler_SSE42,test/perftest/rapidjsontest.cpp:161
RapidJson.ReaderParseIterativePullInsitu_DummyHandler_SSE42,test/perftest/rapidjsontest.cpp:175
RapidJson.ReaderParse_DummyHandler_ValidateEncoding_SSE42,test/perftest/rapidjsontest.cpp:190
RapidJson.DocumentParseInsitu_MemoryPoolAllocator_SSE42,test/perftest/rapidjsontest.cpp:199
RapidJson.DocumentParseIterativeInsitu_MemoryPoolAllocator_SSE42,test/perftest/rapidjsontest.cpp:208
RapidJson.DocumentParse_MemoryPoolAllocator_SSE42,test/perftest/rapidjsontest.cpp:217
RapidJson.DocumentParseLength_MemoryPoolAllocator_SSE42,test/perftest/rapidjsontest.cpp:225
RapidJson.DocumentParseStdString_MemoryPoolAllocator_SSE42,test/perftest/rapidjsontest.cpp:234
RapidJson.DocumentParseIterative_MemoryPoolAllocator_SSE42,test/perftest/rapidjsontest.cpp:244
RapidJson.DocumentParse_CrtAllocator_SSE42,test/perftest/rapidjsontest.cpp:252
RapidJson.DocumentParseEncodedInputStream_MemoryStream_SSE42,test/perftest/rapidjsontest.cpp:261
RapidJson.DocumentParseAutoUTFInputStream_MemoryStream_SSE42,test/perftest/rapidjsontest.cpp:271
RapidJson.DocumentTraverse,test/perftest/rapidjsontest.cpp:304
RapidJson.DocumentAccept,test/perftest/rapidjsontest.cpp:331
RapidJson.DocumentFind,test/perftest/rapidjsontest.cpp:339
RapidJson.Writer_NullStream,test/perftest/rapidjsontest.cpp:365
RapidJson.Writer_StringBuffer_SSE42,test/perftest/rapidjsontest.cpp:375
RapidJson.Writer_StringBuffer_Booleans_SSE42,test/perftest/rapidjsontest.cpp:398
RapidJson.Writer_StringBuffer_Floats_SSE42,test/perftest/rapidjsontest.cpp:399
RapidJson.Writer_StringBuffer_Guids_SSE42,test/perftest/rapidjsontest.cpp:400
RapidJson.Writer_StringBuffer_Integers_SSE42,test/perftest/rapidjsontest.cpp:401
RapidJson.Writer_StringBuffer_Mixed_SSE42,test/perftest/rapidjsontest.cpp:402
RapidJson.Writer_StringBuffer_Nulls_SSE42,test/perftest/rapidjsontest.cpp:403
RapidJson.Writer_StringBuffer_Paragraphs_SSE42,test/perftest/rapidjsontest.cpp:404
RapidJson.PrettyWriter_StringBuffer_SSE42,test/perftest/rapidjsontest.cpp:408
RapidJson.internal_Pow10,test/perftest/rapidjsontest.cpp:421
RapidJson.SkipWhitespace_Basic,test/perftest/rapidjsontest.cpp:428
RapidJson.SkipWhitespace_SSE42,test/perftest/rapidjsontest.cpp:437
RapidJson.SkipWhitespace_strspn,test/perftest/rapidjsontest.cpp:445
RapidJson.UTF8_Validate,test/perftest/rapidjsontest.cpp:452
RapidJson.FileReadStream,test/perftest/rapidjsontest.cpp:464
RapidJson.ReaderParse_DummyHandler_FileReadStream_SSE42,test/perftest/rapidjsontest.cpp:475
RapidJson.IStreamWrapper,test/perftest/rapidjsontest.cpp:487
RapidJson.IStreamWrapper_Unbuffered,test/perftest/rapidjsontest.cpp:498
RapidJson.IStreamWrapper_Setbuffered,test/perftest/rapidjsontest.cpp:508
